name;id;description;vendorId;link;preDefined
MP RA100 series;2053;MP Product Series;11;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/series/2053', '@rel': 'self', '@op': 'GET'};true
Ruijie Series;2054;Ruijie Product Series;231;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/series/2054', '@rel': 'self', '@op': 'GET'};true
Cisco 2000 Series Wireless LAN Controllers;2055;Cisco Product Series;3;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/series/2055', '@rel': 'self', '@op': 'GET'};true
Cisco 4400 Series Wireless LAN Controllers;2056;Cisco Product Series;3;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/series/2056', '@rel': 'self', '@op': 'GET'};true
Cisco 8500 Series Wireless LAN Controller;2057;Cisco Product Series;3;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/series/2057', '@rel': 'self', '@op': 'GET'};true
Cisco VIRTUAL Series Wireless LAN Controller;2058;Cisco Product Series;3;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/series/2058', '@rel': 'self', '@op': 'GET'};true
Cisco 5760 Series Wireless LAN Controller;2059;Cisco Product Series;3;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/series/2059', '@rel': 'self', '@op': 'GET'};true
Cisco Services Modules;2060;Cisco Product Series;3;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/series/2060', '@rel': 'self', '@op': 'GET'};true
Cisco 1800 Series Routers;2061;Cisco Product Series;3;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/series/2061', '@rel': 'self', '@op': 'GET'};true
Cisco Catalyst 2960-C Series Switches;2062;Cisco Product Series;3;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/series/2062', '@rel': 'self', '@op': 'GET'};true
Cisco Catalyst 4500-X Series Switches;2063;Cisco Product Series;3;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/series/2063', '@rel': 'self', '@op': 'GET'};true
Cisco IE 2000 Series Switches;2064;Cisco Product Series;3;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/series/2064', '@rel': 'self', '@op': 'GET'};true
Rockwell Stratix 5700 Series Switches;2065;Cisco Product Series;3;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/series/2065', '@rel': 'self', '@op': 'GET'};true
Cisco Catalyst 2960-SF Series Switches;2066;Cisco Product Series;3;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/series/2066', '@rel': 'self', '@op': 'GET'};true
Network Analysis Modules;2067;Cisco Product Series;3;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/series/2067', '@rel': 'self', '@op': 'GET'};true
