name;preDefined;contact;iconId;description;link;phone;id
PlainTree;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/169', '@rel': 'self', '@op': 'GET'};;169
Polycom;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/170', '@rel': 'self', '@op': 'GET'};;170
Powerware;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/171', '@rel': 'self', '@op': 'GET'};;171
Process Software Corporation;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/172', '@rel': 'self', '@op': 'GET'};;172
Procom;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/173', '@rel': 'self', '@op': 'GET'};;173
Proxim;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/174', '@rel': 'self', '@op': 'GET'};;174
Psion Teklogix;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/175', '@rel': 'self', '@op': 'GET'};;175
Rad Data Communications;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/176', '@rel': 'self', '@op': 'GET'};;176
RADVision;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/177', '@rel': 'self', '@op': 'GET'};;177
RapidStream;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/178', '@rel': 'self', '@op': 'GET'};;178
Red Creek Communications;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/179', '@rel': 'self', '@op': 'GET'};;179
Redback Networks;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/180', '@rel': 'self', '@op': 'GET'};;180
Redhat;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/181', '@rel': 'self', '@op': 'GET'};;181
Redstone Communications;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/182', '@rel': 'self', '@op': 'GET'};;182
Ricoh;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/183', '@rel': 'self', '@op': 'GET'};;183
Riello UPS;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/184', '@rel': 'self', '@op': 'GET'};;184
Rittal;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/185', '@rel': 'self', '@op': 'GET'};;185
Riverbed;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/186', '@rel': 'self', '@op': 'GET'};;186
RiverDelta Networks;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/187', '@rel': 'self', '@op': 'GET'};;187
Riverstone;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/188', '@rel': 'self', '@op': 'GET'};;188
Rockwell;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/189', '@rel': 'self', '@op': 'GET'};;189
